Title,Joy,Love,Anger,Surprise,Sadness,Fear,Protagonist Roles,Time Period,Dominant Time of Day,Genres
Amadeus,0.8196443519505798,0.8749304145131116,0.1169780735487497,0.2927144202249476,0.1843628846239876,0.0170712458826013,Monster/Killer/Victim,Past,Daytime,['Drama']
Amelia,0.7406790339464423,0.5761216474495556,0.347102061132121,0.3123182676278178,0.2672475872913619,0.365925571039756,Creature/Royalty/Knight/Sorcerer,Future,Daytime,['Drama']
American Beauty,0.8146494182763863,0.6982047904505309,0.1832461205493864,0.0980833217560517,0.1226964129827188,0.4084500975764914,Comedian,Past,Daytime,['Drama']
American Gangster,0.5734962862411768,0.5073349806845147,0.3378721613832868,0.3314505538703541,0.0404636122313301,0.0818671491179683,Spouse/Lover/Ex,Past,Daytime,"['Crime', 'Drama']"
American Graffiti,0.6721518129691626,0.555400860325578,0.4456570852946532,0.370353347810852,0.4796647354675811,0.3284773870027495,Creature/Royalty/Knight/Sorcerer,Present,Nighttime,"['Comedy', 'Drama']"
American History X,0.3130606141050211,0.0209149492747262,0.0082006574136059,0.0470570736673343,0.8867738702594171,0.7645215665051157,Superhuman/Scientist/Alien/Robot,Past,Daytime,"['Crime', 'Drama', 'Thriller']"
American Hustle,0.7432643166831997,0.9001222760558223,0.4068959704623625,0.1420154931218966,0.1718417875034659,0.1802765764339928,Soldier,Past,Daytime,"['Crime', 'Drama']"
American Madness,0.9793639778851148,0.8291099688658687,0.1885998065226442,0.1551617678492908,0.1151860515534997,0.3854675660118551,Realist,Present,Daytime,['Drama']
American Milkshake,0.64066171181912,0.5974931771584919,0.1794774087848579,0.0337690550583136,0.3776385773976021,0.3739388866453764,Spouse/Lover/Ex,Past,Daytime,['Comedy']
American Outlaws,0.8311188415387387,0.6504594292407446,0.0801417808968389,0.2551905611079486,0.1220314885097778,0.1816535798302723,Superhuman/Scientist/Alien/Robot,Present,Daytime,"['Comedy', 'Action']"
American Pie,0.8121721644240596,0.5287404956602479,0.3063708945104347,0.0530630303129557,0.2182727167313738,0.2316707938465733,Soldier,Present,Nighttime,['Comedy']
American Psycho,0.6999487884771585,0.9496160919012776,0.1628625908901407,0.2190209563755669,0.0087415721071245,0.1966072746003787,Child,Past,Nighttime,"['Horror', 'Drama', 'Thriller']"
American Shaolin King of Kickboxers II,0.5260731742394931,0.5831571757301637,0.0344413177918961,0.3764359875198937,0.3567156334654696,0.0207374087674148,Law Person/Outlaw,Present,Daytime,['Action']
American Sniper,0.1701586394134309,0.2675658430152994,0.4337415758460527,0.182292209658693,0.5250762858444689,0.7801408818985832,Superhuman/Scientist/Alien/Robot,Past,Daytime,"['Drama', 'Action']"
American Splendor,0.6922987549637749,0.634495668852034,0.0969163276970019,0.4076801781748034,0.1625452993604845,0.4955584066173624,Monster/Killer/Victim,Past,Daytime,"['Comedy', 'Drama']"
American Werewolf in London,0.1752622461176871,0.051638271558959,0.2159826961408196,0.2333352582174542,0.6579798042815509,0.6409189790334135,Law Person/Outlaw,Future,Daytime,"['Horror', 'Comedy', 'Romance']"
Amour,0.8594210492988792,0.8521366962376281,0.2716724141052582,0.359324727564891,0.1078981057905181,0.2385828177936864,Creature/Royalty/Knight/Sorcerer,Present,Daytime,"['Drama', 'Romance']"
An Education,0.6437707131585803,0.8818112005332677,0.2788062137348866,0.4303520914100109,0.0795060132174875,0.477721187420412,Comedian,Past,Daytime,['Drama']
Analyze That,0.6043242480143031,0.5956161494790835,0.2942644633288886,0.1703555405550026,0.3015220556823211,0.3755302964248543,Law Person/Outlaw,Past,Daytime,"['Crime', 'Comedy']"
Analyze This,0.7386973538073879,0.709524225404224,0.0676231521341161,0.2517996408549417,0.3048924532527476,0.3804945124752295,Monster/Killer/Victim,Past,Daytime,"['Crime', 'Comedy']"
Anastasia,0.7107678499377702,0.8406143385330109,0.2467035901236555,0.1244344198430613,0.3924518354279294,0.2026839921517702,Fighter,Present,Nighttime,['Family']
Angel Eyes,0.8778237350954543,0.7542201584168304,0.0561601276091055,0.3974008570991167,0.2885903577260043,0.2040942742661221,Realist,Past,Daytime,"['Drama', 'Romance']"
Anna Karenina,0.6848676370147151,0.6540353392714124,0.4500853438780304,0.2742249377437149,0.0644534091614541,0.4987469336881749,Soldier,Past,Daytime,['Drama']
Annie Hall,0.5019261793833045,0.6322803787548011,0.0231564514740603,0.4126804420844218,0.405758228910722,0.4223058100270966,Detective/Spy,Past,Daytime,"['Comedy', 'Romance']"
Anonymous,0.6441647412606889,0.5058999619758813,0.4129435662048251,0.2246666547888663,0.2043661325357098,0.1369300154294845,Fighter,Past,Daytime,"['Drama', 'Thriller']"
Antitrust,0.7779706983922821,0.919818672679914,0.4921710169142432,0.3979140252502571,0.3234251126866553,0.1937361825130976,Traveller/Explorer,Past,Daytime,"['Crime', 'Drama', 'Thriller']"
Antz,0.570101121773186,0.9042839318099716,0.1225657419022935,0.3435704894631921,0.4735499811273063,0.2034640399786021,Comedian,Present,Daytime,"['Fantasy', 'Comedy', 'Adventure']"
Apocalypse Now,0.7917923744395826,0.5392338342608269,0.3539025409828785,0.0862759121493193,0.4505787336791835,0.2072358685317217,Creature/Royalty/Knight/Sorcerer,Past,Daytime,"['Drama', 'War', 'Action']"
Apollo 13,0.4330667927892916,0.4666936546551627,0.9599587827692802,0.8639603210308873,0.4735717384303312,0.1900019188333678,Realist,Present,Nighttime,"['Drama', 'Adventure']"
April Fools Day,0.6778352515167416,0.6391251248066396,0.0457576882082952,0.4494602367066394,0.1558506605401491,0.4399287174309901,Creature/Royalty/Knight/Sorcerer,Past,Daytime,"['Horror', 'Comedy']"
Apt Pupil,0.8886569511904977,0.5797531827646696,0.1066872557798773,0.092018998527793,0.4398844152223565,0.2707441454306585,Superhuman/Scientist/Alien/Robot,Past,Daytime,"['Drama', 'Thriller']"
